29A	19\chp\RedDot
2A9	19\chp\Assign
2AA	19\chp\Write
280	20\nbch\RecReadyProxy
28F	20\chp\Select
270	20\chp\Solo
271	20\chp\Mute
273	20\chp\GreenDot
272	20\chp\RedDot
281	20\chp\Assign
282	20\chp\Write
278	21\nbch\RecReadyProxy
267	21\chp\Select
268	21\chp\Solo
269	21\chp\Mute
26B	21\chp\GreenDot
26A	21\chp\RedDot
279	21\chp\Assign
27A	21\chp\Write
250	22\nbch\RecReadyProxy
25F	22\chp\Select
240	22\chp\Solo
241	22\chp\Mute
243	22\chp\GreenDot
242	22\chp\RedDot
251	22\chp\Assign
252	22\chp\Write
248	23\nbch\RecReadyProxy
237	23\chp\Select
238	23\chp\Solo
239	23\chp\Mute
23B	23\chp\GreenDot
23A	23\chp\RedDot
249	23\chp\Assign
24A	23\chp\Write
218	vstripproxy\aux1
220	vstripproxy\aux2
219	vstripproxy\aux3
221	vstripproxy\aux4
21A	vstripproxy\aux5
222	vstripproxy\aux6
21B	vstripproxy\aux7
223	vstripproxy\aux8
21D	vstripproxy\cue1pan
21C	vstripproxy\cue1level
225	vstripproxy\cue2pan
224	vstripproxy\cue2level
22A	vstripproxy\pan
207	vstripproxy\TapeOut
22F	vstripproxy\DigitalTrim
226	vstripproxy\solo
22C	vstrip\FaderDeck	0
22D	vstrip\FaderDeck	1
22E	vstrip\FaderDeck	2
22B	vstrip\FaderDeck	3
508	vstripproxy\bus1
50D	vstripproxy\bus2
509	vstripproxy\bus3
50E	vstripproxy\bus4
50A	vstripproxy\bus5
50F	vstripproxy\bus6
50B	vstripproxy\bus7
500	vstripproxy\bus8
50C	vstripproxy\BusLR
501	vstripproxy\DirectRoute
47B	vfdmanager\vswitch1
47C	vfdmanager\vswitch2
47D	vfdmanager\vswitch3
47E	vfdmanager\vswitch4
472	vfdproxy\on
474	vfdproxy\MemoryA
475	vfdproxy\MemoryB
4F7	global\option
4F6	global\control
227	global\shift
467	96\ch\select
466	96\ch\write
